web-scraper-order,web-scraper-start-url,nome,foto-src,nazione,stile,colore,grado,bicchiere,birrificio,ricerca,content,prezzo scontato,prezzo
1673888417-627,https://www.cantinadellabirra.it/shop/de-dochter-van-de-korenaar-bravoure.html,Bravoure,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/d/e/de-dochter-van-de-korenaar-bravoure-033-l.png,Belgio,Smoked,Ambrato tendente al rame,6.5 %,Pinta,De Dochter van de Korenaar,Acidulo,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Acidulo</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">15</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">79 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">92 / 100</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Smoked</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">8° - 10°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last odd""> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra"">Da non perdere</td> <td class=""empty"">&nbsp;</td> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr> </tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Smoked Beer dal colore ambrato tendente al rame con una schiuma bianca di media persistenza e spessore. L’aroma è il punto di forza di questa birra, soprattutto appena versata. Intenso, pulito, ricco di sfaccettature: acetiche, fruttate, affumicate, di lievito, caramello, torbate ed etiliche si riuniscono assieme in un mix impensabile ma di successo, decisamente suadente. All’imbocco è piena e rotonda, rapido il passaggio e leggero l’ingoio, con buona persistenza aromatica e decisa astringenza. Al palato, il sentore dominante è l’affumicato e il fruttato, soprattutto man mano che la birra riposa nel bicchiere. Birra decisamente particolare, non tanto e non solo per l’affumicatura che rappresenta l’asse portante del suo bouquet, quanto per la felice compresenza di sentori acetici,fruttati ed astringenti. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888419-628,https://www.cantinadellabirra.it/shop/de-glazen-toren-saison-d-erpe-mere.html,Saison d' Erpe-Mere,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/s/a/saison_d_erpe_mere_75cl_cantina_della_birra.png,Belgio,Saison / Farmhouse Ale,Ambrato Chiaro,6.9 %,Calice a tulipano,De Glazen Toren,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">16</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">97 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">92 / 100</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Saison / Farmhouse Ale</td> </tr> <tr class=""even""> <th class=""title birra_ibu"">IBU</th> <td class=""data birra_ibu"">33</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">6° - 8°C</td> </tr> <tr class=""odd""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 75cl</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra last"">Birra iconica</td> </tr> <tr class=""last even""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> E’ stata la prima birra prodotta dal birrificio, ottenuta secondo la migliore delle tradizioni delle Saison dell’Hainaut con ingredienti accuratamente scelti. Dal colore dorato leggermente velato, ha schiuma compatta, abbondante, cremosa e molto persistente. Ha naso asciutto e frizzante, ricco di note luppolate, floreali con una diffusa speziatura dalla quale spicca una nota di pepe; seguono sentori di arancio (scorza e polpa), banana acerba, cereali, lievito ed una piacevole nota ""rustica"", leggermente terrosa. Molto gradevole anche in bocca; il gusto è principalmente agrumato e fruttato (soprattutto polpa d'arancio ma anche pesca) con un bell'equilibrio generale dato da note amaricanti di scorza di pompelmo e limone. La leggera acidità le rende molto rinfrescante e la vivace carbonatazione ne enfatizza il carattere ""pepato"" anche al palato; chiude con un bel finale secco ed un retrogusto abbastanza lungo, amaro, caratterizzato da note erbacee e di scorza d'agrumi. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888422-629,https://www.cantinadellabirra.it/shop/birrificio-del-ducato-via-emilia-pils.html,Via Emilia,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/v/i/viaemilia.png,Italia,Zwickel / Keller / Landbier,Biondo dorato opalescente,5.0 %,Colonna biconica,Birrificio del Ducato,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Bassa fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">11.5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">80 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">86 / 100</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Zwickel / Keller / Landbier</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">5/7°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last odd""> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra"">Birra iconica, Premiata</td> <td class=""empty"">&nbsp;</td> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr> </tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Dal colore dorato, questa birra a bassa fermentazione, emana aromi floreali ed erbacei, dati dall' utilizzo di luppolo in fiore Tettnang Tettnanger. Equilibrata ed elegante al palato è amara, morbida al primo sorso, con lievi sentori di miele e frutta secca. Perfetta abbinata a salumi, formaggi freschi e fritture di verdure.<br> <br> <strong>World Beer Awards 2022</strong><br> <u>Medaglia di bronzo nella categoria Hoppy Pilsener (Italia)</u> </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888425-630,https://www.cantinadellabirra.it/shop/brasserie-des-legendes-quintine-hercule-stout.html,Quintine Hercule Stout,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/q/u/quintine_hercule_stout_33cl_cantina_dlella_birra.png,Belgio,Imperial Stout,Ebano scuro,"9,00%",Pinta,Ellezelloise-Des Legendes,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">18</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">99 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">91 / 100</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Imperial Stout</td> </tr> <tr class=""even""> <th class=""title birra_ibu"">IBU</th> <td class=""data birra_ibu"">36</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">10/12°C</td> </tr> <tr class=""odd""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 33cl</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra last"">Birra iconica</td> </tr> <tr class=""last even""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Questa eccezionale Stout, il cui nome è dedicato al famoso detective belga, Hercule Poirot, nato dalla penna di Agatha Christie, veste un colore ebano scuro con una schiuma beige fine e di media persistenza. Aroma e sapore inebriante di malto tostato, floreale, di frutti scuri, caffè, legno e cioccolato. Il corpo è rotondo e nonostante il suo grado alcolico di tutto rispetto risulta essere anche molto beverina. Retrogusto asciutto e moderatamente amaro. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888428-631,https://www.cantinadellabirra.it/shop/brasserie-de-bastogne-ardenne-stout.html,Ardenne Stout,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/a/r/ardenne_stout_33cl_cantina_della_birra.png,Belgio,Imperial Stout,Marrone Scuro,8.0 %,Pinta,De Bastogne,Dolce,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Dolce</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">17</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">87 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">4 / 5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Imperial Stout</td> </tr> <tr class=""even""> <th class=""title birra_ibu"">IBU</th> <td class=""data birra_ibu"">60</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">10/12°C</td> </tr> <tr class=""last odd""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 33cl</td> <td class=""empty"">&nbsp;</td> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo, Farro</td> </tr> </tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Ardenne Stout è un Imperial Stout prodotta con l'80 % di malto Pale Ale , il 10% di farro tostato insieme ad una piccola quantità di Malto Amber. Una Stout dal corpo robusto e dal sapore piuttosto amaro con un indice IBU di 60. I luppoli utilizzati sono l' Hallertau ,Mosaic e Belgian Golding che insieme all'affinamento per tre mesi in botti di rovere donano a questa birra il suo particolare carattere deciso. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888431-632,https://www.cantinadellabirra.it/shop/les-3-fourquets-lupulus-organicus.html,Lupulus Organicus,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/l/u/lupulus-organicus.png,Belgio,Abbey Tripel,Biondo Velato,8.5 %,Coppa,Lupulus,Dolce,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Dolce</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">16</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">3.14 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">3.54 / 5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Abbey Tripel</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">8° - 10°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl, Bottiglia 75cl</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Birra Bio Blonde Triple, ultima nata alla Brasserie Les 3 Fourquets, è fabbricata unicamente con materie prime di origine biologica. L’idea è stata quella di riprodurre nel modo più esatto la Lupulus Triple dalla quale si differenzia per l’utilizzo di luppoli di origine tedesca anziché sloveni e per l’impiego di zucchero di canna biologico al posto del saccarosio. Ne deriva una birra che assomiglia alla sorella ma con gusto più rotondo e delicatamente dolce </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888433-633,https://www.cantinadellabirra.it/shop/thornbridge-brewery-rasberry-imperial-stout.html,Raspberry Imperial Stout,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/t/h/thornbridge-imperial-raspberry-stout.png,Inghilterra,Imperial Stout,Mogano scuro con riflessi rossi,"10,00%",Pinta,Thornbridge,Dolce,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Dolce</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer"">98 / 100</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade last"">4,03 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">Imperial Stout</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">10/12°C</td> </tr> <tr class=""even""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 50cl</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra last"">Birra iconica</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Nata in collaborazione tra Rob Lovatt di Thornbridge e la St Eriks Bryggeri svedese questa Imperial Stout veste un abito molto scuro con riflessi rossi e con una piccola quantità di schiuma beige. Aromi e sapori di liquirizia, cioccolato, malto tostato e frutta rossa (lamponi). In background è possibile avvertire note affumicate e legnose; il suo tasso alcolico è pericolosamente ben nascosto. Retrogusto dolce ed acidulo. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888436-634,https://www.cantinadellabirra.it/shop/schonram-schonramer-imperial-stout.html,Schönramer Imperial Stout,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/s/c/schonramer_imp.stout.png,Germania,Imperial Stout,Ebano scuro traslucido,"10,00%",Pinta,Schönram,Dolce,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Dolce</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">21</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">93 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">4.18 / 5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Imperial Stout</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">10/12°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Dal vestito color ebano scuro traslucido e con una schiuma beige abbastanza persistente, profuma di cacao, cioccolato fondente e malto torrefatto. Cremosa e vellutata in bocca, ha un sapore dolce e complesso di tostato e caramello con note spiccate di cioccolato fondente, caffè espresso e frutta secca.&nbsp;Nel finale rimane piacevolmente equilibrata e delicata, con una leggera finitura di luppolo. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888439-635,https://www.cantinadellabirra.it/shop/birra-del-borgo-etrusca.html,Etrusca,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/e/t/etrusca_33cl_cantina_della_birra.png,Italia,Specialty Beer,Ambrato Velato,9.3 %,Pinta,Birra del Borgo,Acidulo,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Acidulo</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">19.00</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">91 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">Specialty Beer</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">10° - 12°C</td> </tr> <tr class=""even""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 33cl</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra last"">Da non perdere</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Leonardo Di Vincenzo, Teo Musso e Sam Calagione sono andati alla ricerca dell'origine della birra ricreando una prodigiosa ricetta ispirata alle antiche bevande fermentate. Usando ingredienti decisamente insoliti per una birra (nocciole, melograni, resina naturale, miele...) sulla base dei ritrovamenti archeologici, ogni birrificio ha scelto un metodo di fermentazione diverso. A Borgorose l'Etrusca ha riposato in grandi anfore di terracotta. Il risultato è un vero e proprio “reperto archeologico”. Il colore ambrato spento ricorda quello dei vini in anfora; al naso emergono sentori di miele e frutta rossa e inedite note minerali. In bocca l’acidità la fa da padrona, e alle note mielate seguono nuovamente nuance minerali. Chi avrà l’occasione di assaggiare questa particolarissima birra (prodotta in quantità limitata) potrà dire di aver fatto una sorsata di storia! </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888441-636,https://www.cantinadellabirra.it/shop/birra-del-borgo-rubus.html,Rubus,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/r/u/rubus_birra_del_borgo.33clpng.png,Italia,Sour / Wild Ale,Rosa,5.8 %,Calice a tulipano,Birra del Borgo,Acidulo,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Acidulo</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Fermentazione spontanea</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">15.2</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">95 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">86 / 100</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Sour / Wild Ale</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">10°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> La storia d'amore tutta in rosa tra i Lamponi e la Duchessa. Un’avventura travolgente fatta di fermentazione spontanea e controllata, di passione e di tempo. Un intreccio straordinario tutto da gustare. Rubus idaeus più conosciuto come lampone è l'attore protagonista di questa birra. La birra di partenza è la Duchessa a cui vengono aggiunti lamponi freschi in una quantità di 100 grammi litro. I lamponi innescano una fermentazione selvatica che conferisce alla birra un carattere unico con un’acidità piuttosto spiccata e ben equilibrata dai profumi di frutto di bosco. Ottimo come aperitivo, al posto di uno spumante rosé. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888444-637,https://www.cantinadellabirra.it/shop/hibu-zatec.html,Zatecc,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/z/a/zatec_2.png,Italia,Pils,Dorato Pallido,4.8%,Colonna,Hibu,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Bassa fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">11.1</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">2.71 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">Pils</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ibu"">IBU</th> <td class=""data birra_ibu last"">35</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">5°-7°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> All’aspetto è di colore dorato pallido con una schiuma bianca fine e cremosa. Al naso, sentori floreali (camomilla) ed erbacei; l’imbocco maltato è fragrante e prosegue su note dolci di miele. Retrogusto amaro ed erbaceo mediamente persistente. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
